;position;reference;offer;company;town
0;Python Developer;https://spb.hh.ru/vacancy/81442089?from=vacancy_search_list&query=python+and+Django+and+Flask;150 000 – 200 000 руб.;B.ART;Москва
1;Middle+ Backend разработчик Python/Django;https://spb.hh.ru/vacancy/81177290?from=vacancy_search_list&query=python+and+Django+and+Flask;190 000 – 220 000 руб.;ЧУ ДО Московская школа программистов;Москва
2;Middle разработчик Python / Django;https://spb.hh.ru/vacancy/81472661?from=vacancy_search_list&query=python+and+Django+and+Flask;60 000 – 140 000 руб.;ООО РА Дельта;Москва
3;Middle Python-разработчик;https://spb.hh.ru/vacancy/80580029?from=vacancy_search_list&query=python+and+Django+and+Flask;140 000 – 250 000 руб.;AERODISK;Москва
4;Разработчик Python,  удаленно;https://spb.hh.ru/vacancy/81525694?from=vacancy_search_list&query=python+and+Django+and+Flask;200 000 – 350 000 руб.;ООО Кадровый центр Президент;Москва
5;Python-разработчик;https://spb.hh.ru/vacancy/81542736?from=vacancy_search_list&query=python+and+Django+and+Flask;200 000 – 230 000 руб.;ИНСКОМ;Москва
6;Backend разработчик;https://spb.hh.ru/vacancy/80883444?from=vacancy_search_list&query=python+and+Django+and+Flask;от 110 000 руб.;ООО АлгоМост;Москва
7;Python Backend Developer;https://spb.hh.ru/vacancy/81529697?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;QBigTech;Москва
8;Middle Backend разработчик (Python + Golang);https://spb.hh.ru/vacancy/81456446?from=vacancy_search_list&query=python+and+Django+and+Flask;200 000 – 285 000 руб.;Tevian (ООО Технологии видеоанализа);Москва
9;Senior Python разработчик;https://spb.hh.ru/vacancy/80024403?from=vacancy_search_list&query=python+and+Django+and+Flask;200 000 – 350 000 руб.;Carbon Soft;Москва
10;Middle Python developer;https://spb.hh.ru/vacancy/81569288?from=vacancy_search_list&query=python+and+Django+and+Flask;120 000 – 170 000 руб.;ООО Соломон;Санкт-Петербург
11;Разработчик Python;https://spb.hh.ru/vacancy/81539195?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;ООО SolidLab;Москва
12;Teamlead backend (python);https://spb.hh.ru/vacancy/80980780?from=vacancy_search_list&query=python+and+Django+and+Flask;от 300 000 руб.;Триафлай;Москва
13;Middle Backend Developer (Python);https://spb.hh.ru/vacancy/81598011?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;ООО Объединение когнитивных ассоциативных систем;Санкт-Петербург
14;Разработчик (Python);https://spb.hh.ru/vacancy/81711315?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;АО Первая Грузовая Компания;Москва
15;Senior / Middle python developer;https://spb.hh.ru/vacancy/81716522?from=vacancy_search_list&query=python+and+Django+and+Flask;140 000 – 450 000 руб.;B.ART;Москва
16;Middle Python-разработчик (ML);https://spb.hh.ru/vacancy/81555760?from=vacancy_search_list&query=python+and+Django+and+Flask;до 320 000 руб.;Точка;Москва
17;Python разработчик;https://spb.hh.ru/vacancy/81612019?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Outlines Technologies;Москва
18;Ведущий Python Developer;https://spb.hh.ru/vacancy/81661777?from=vacancy_search_list&query=python+and+Django+and+Flask;до 350 000 руб.;Copilot2Trip;Санкт-Петербург
19;Python-разработчик;https://spb.hh.ru/vacancy/80672896?from=vacancy_search_list&query=python+and+Django+and+Flask;до 420 000 руб.;Точка;Москва
20;Разработчик Python;https://spb.hh.ru/vacancy/80939995?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;ООО ДА-ТИМ;Москва
21;Python разработчик (Senior);https://spb.hh.ru/vacancy/81671040?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;билайн: ИТ, Data, Digital;Москва
22;Программист Python;https://spb.hh.ru/vacancy/81535645?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Performance Lab (Перфоманс Лаб);Москва
